model,demeaned_f1,demeaned_ci_low,demeaned_ci_high,n_tasks,differs_from_panel_mean
claude-opus-5,0.03284087508365229,0.014925793585929216,0.05372560226055329,33,True
claude-sonnet-5,0.015387939134197745,0.000667466564332433,0.03317872936730483,33,True
gpt-5.6-sol,0.0108594314527735,-0.0007346160814476312,0.02306427259856962,33,False
gemini-3.8-flash,0.01060693226287672,-0.010291086879870617,0.02530057166077386,33,False
gpt-5.6-terra,0.001166892302470463,-0.01245633611968617,0.01392589503822624,33,False
gemini-3.1-flash-lite,-3.6765249201936076e-05,-0.013538564485571164,0.015159980357715359,33,False
gpt-6-astra,-0.0029524368534386324,-0.029046724471775587,0.017964027969857875,33,False
gpt-5.6-luna,-0.011602800492711346,-0.024266651164251373,0.0005058657322554788,33,False
deepseek-v4-flash,-0.016447582156499226,-0.032585584377094,0.00031413399106360046,33,False
deepseek-v4-pro,-0.018932221943650747,-0.03550105435791865,-0.0036365145374585507,33,True
jev-1.13.0,-0.020890263540468922,-0.0320847245833103,-0.010122822820785847,33,True
