model,mean_task_f1,task_ci_low,task_ci_high,cost_usd_run,cost_per_1k_items_estimate,cost_per_1k_items_batch_estimate,estimate_rate_basis,output_tokens_per_item,input_tokens_per_item,malformed_rate,cost_per_1k_items,cost_basis,cost_mode,cost_caveat,cost_is_invoiced,cost_per_1k_items_peak,cost_per_1k_items_batch,has_batch_endpoint,estimate_to_actual_ratio,median_latency_s,p90_latency_s,items_per_minute_sequential,latency_timed_n,on_cost_performance_frontier,on_three_way_frontier,f1_vs_jev,cost_multiple_of_jev
claude-opus-5,0.714381605724,0.664130574403,0.768111994613,13.4571275,3.9579786764705887,3.9579786764705887,batch,41.95294117647059,1373.4267647058823,0.0,7.915957352941177,token_estimate,sequential,batch-rate token estimate rescaled to standard rates by the published 50% batch discount; never invoiced,False,,3.9579786764705887,True,,1.400409417008632,2.0984843746031405,42.844613347548034,99,True,True,0.05373113862400003,219.7331155388458
claude-sonnet-5,0.696928669775,0.642449228496,0.752948382507,5.613837,1.6511285294117648,1.6511285294117648,batch,41.938235294117646,1441.4373529411764,0.00030303030303,3.3022570588235296,token_estimate,sequential,batch-rate token estimate rescaled to standard rates by the published 50% batch discount; never invoiced,False,,1.6511285294117648,True,,0.995459916011896,1.417307491405518,60.27364742156327,99,True,True,0.03627820267500004,91.66487381034678
gpt-5.6-sol,0.692400162094,0.64071119557,0.750037553805,4.76931,1.4027382352941178,1.4027382352941178,batch,14.06764705882353,504.82470588235293,0.0,2.1323232323232326,provider_ledger,sequential,,True,,1.0661616161616163,True,1.5201148572642562,1.094396208995022,2.186177766197943,54.82475131661655,99,True,True,0.031749694994000044,59.18955930202921
gemini-3.8-flash,0.687110582835,0.627007015908,0.74883466157,1.80311325,0.5303274264705883,0.5303274264705883,not_applicable,41.40705882352941,500.0679411764706,0.0109090909091,0.5303273529411764,provider_tokens,sequential,published price times provider-reported tokens; no invoice was read for this provider,False,,0.2651636764705882,True,0.999999861350916,1.166778249986237,1.864731641206891,51.42365312406856,99,True,True,0.026460115735000067,14.72095873203976
gpt-5.6-terra,0.682707622943,0.627419184812,0.743164615479,2.432425,0.7154191176470588,0.7154191176470588,batch,14.064705882352941,504.82470588235293,0.0,1.0636363636363637,provider_ledger,sequential,,True,,0.5318181818181819,True,1.4867318155189315,0.8065300000016578,1.318689666397404,74.39276902269808,99,False,True,0.022057155843000054,29.52468306254702
gemini-3.1-flash-lite,0.681246848771,0.626515852418,0.739493993672,0.47422025,0.13947654411764707,0.13947654411764707,not_applicable,9.639705882352942,500.0679411764706,0.00030303030303,0.13947647058823529,provider_tokens,sequential,published price times provider-reported tokens; no invoice was read for this provider,False,,0.06973823529411764,True,0.9999994728188009,0.5406159999838565,0.7499264082172887,110.98450656619798,99,True,True,0.020596381670999975,3.87162260485499
gpt-6-astra,0.678588293787,0.613806457663,0.744975807927,12.42165,3.653426470588235,3.653426470588235,batch,19.930882352941175,504.82470588235293,0.0,4.436363636363636,provider_ledger,sequential,,True,,2.218181818181818,True,1.2143021549984392,1.4794055000093067,2.3943497497937645,40.556831781159765,99,False,False,0.017937826687000058,123.1456866198542
gpt-5.6-luna,0.669937930148,0.613612995159,0.731197199214,0.2432647,0.07154844117647059,0.07154844117647059,batch,14.075588235294118,504.82470588235293,0.0,0.16262626262626262,provider_ledger,sequential,,True,,0.08131313131313131,True,2.27295326008785,1.031751374990563,1.557545083196601,58.153544986115286,99,False,False,0.009287463047999989,4.514220297312506
deepseek-v4-flash,0.665093148484,0.608164116574,0.726928908152,0.82714896,0.24327910588235296,0.24327910588235296,peak_direct,9.705294117647059,512.6070588235294,0.0,0.10101010101010101,provider_ledger,sequential,"The console reports whole cents, so a $0.01 figure carries +/- half a cent, i.e. +/- 50 percent.; The run landed on a weekend, and the console states weekends are billed at off-peak rates. These are discounted prices, not standard weekday rates.",True,0.20202020202020202,,False,0.41520253308949745,1.221916374997818,1.9533118663937787,49.10319660795703,99,True,True,0.004442681384000058,2.8038635387034203
deepseek-v4-pro,0.662608508697,0.603632359752,0.725496905963,2.4217446,0.7122778235294117,0.7122778235294117,peak_direct,9.999117647058824,509.6070588235294,0.00030303030303,0.40404040404040403,provider_ledger,sequential,"The console reports whole cents, so a $0.01 figure carries +/- half a cent, i.e. +/- 50 percent.; The run landed on a weekend, and the console states weekends are billed at off-peak rates. These are discounted prices, not standard weekday rates.",True,0.8080808080808081,,False,0.5672511352920427,2.2738821455059224,4.524668345609098,26.386591811094252,98,False,False,0.001958041597000082,11.215454154813681
jev-1.13.0,0.6606504671,0.608416474951,0.717521785394,0.122514714,0.03603373941176471,0.03603373941176471,not_applicable,88.82205882352942,857.7458823529412,0.0,0.036025327058823525,provider_reported,sequential,,True,,,False,0.9997665423273158,0.2740268329944229,0.3503460832027485,218.95665962472057,99,True,True,0.0,1.0
